조사기준일,시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",학교세부유형,학교운영상특례,학교명,설립,"남녀공학
구분",지역규모,개교일,우편번호,주소,Latitude,Longitude,홈페이지,특수_학급수,특수_학생수,특수학급_학생수_남,특수학급_학생수_여,편성학급수_계,1학년_학급수,2학년_학급수,3학년_학급수,4학년_학급수,5학년_학급수,6학년_학급수,학생수_총계_계,학생수_총계_남,학생수_총계_여,1학년_학생수_계,1학년_학생수_남,1학년_학생수_여,2학년_학생수_계,2학년_학생수_남,2학년_학생수_여,3학년_학생수_계,3학년_학생수_남,3학년_학생수_여,4학년_학생수_계,4학년_학생수_남,4학년_학생수_여,5학년_학생수_계,5학년_학생수_남,5학년_학생수_여,6학년_학생수_계,6학년_학생수_남,6학년_학생수_여,"학급당
 학생수",교원수_정규_특수_계,교원수_정규_특수_남,교원수_정규_특수_여,교원1인당 학생수,전출,전입,입학자_계,입학자_남,입학자_여,졸업자_계,졸업자_남,졸업자_여,"일반
교실","교과
교실","특별
교실",수준별교실,"기타
교실",교지면적,"학생
1인당
교지면적"
20230401,서울,성북구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,서울대학교사범대학부설고등학교,국립,남여공학,특별/광역시,19460902,2796,서울특별시 성북구 월곡로 6(종암동),37.5941741,127.0385809,https://snu.sen.hs.kr/,3,22,17,5,27,9,9,9,0,0,0,711,329,382,250,121,129,237,92,145,224,116,108,0,0,0,0,0,0,0,0,0,26.3,2,1,1,9.7,3,15,248,121,127,227,116,111,50,11,21,2,4,101,0.1
20230401,서울,강남구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,개포고등학교,공립,남여공학,특별/광역시,19870301,6324,서울특별시 강남구 개포로 402(개포동. 개포고등학교),37.4846776,127.0596014,http://gaepo.sen.hs.kr,3,9,7,2,30,10,10,10,0,0,0,693,315,378,265,110,155,219,104,115,209,101,108,0,0,0,0,0,0,0,0,0,23.1,3,0,3,10,10,16,265,111,154,214,99,115,31,10,7,0,0,"20,146",29.1
20230401,서울,강남구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,경기고등학교,공립,남자,특별/광역시,19001001,6086,서울특별시 강남구 영동대로 643. 경기고등학교 (삼성동),37.5170678,127.0562145,http://kyunggi.sen.hs.kr,3,16,16,0,44,15,15,14,0,0,0,"1,063","1,063",0,399,399,0,336,336,0,328,328,0,0,0,0,0,0,0,0,0,0,24.2,3,0,3,11.1,23,26,397,397,0,379,379,0,46,3,13,0,3,"97,863",92.1
20230401,서울,성북구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,경동고등학교,공립,남자,특별/광역시,19400416,2870,서울특별시 성북구 보문로29길 49(삼선동3가. 경동고등학교),37.5861997,127.0146321,http://kyungdong.sen.hs.kr,3,13,13,0,25,9,8,8,0,0,0,542,542,0,197,197,0,175,175,0,170,170,0,0,0,0,0,0,0,0,0,0,21.7,1,0,1,9.3,30,30,196,196,0,190,190,0,25,9,12,0,6,"38,199",70.5
20230401,서울,종로구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,경복고등학교,공립,남자,특별/광역시,19210502,3047,서울특별시 종로구 자하문로28가길 9. 경복고등학교 (청운동.경복고등학교),37.5870412,126.9718192,http://kyungbock.sen.hs.kr,3,18,18,0,33,11,11,11,0,0,0,589,589,0,216,216,0,181,181,0,192,192,0,0,0,0,0,0,0,0,0,0,17.8,4,1,3,7.6,15,20,214,214,0,221,221,0,31,22,10,1,2,"48,149",81.7
20230401,서울,구로구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,경인고등학교,공립,남여공학,특별/광역시,20020304,8275,서울특별시 구로구 경인로46길 31.경인고등학교(고척동),37.4967636,126.8657602,http://kyeongin.sen.hs.kr,3,16,8,8,42,14,14,14,0,0,0,"1,095",593,502,394,206,188,365,200,165,336,187,149,0,0,0,0,0,0,0,0,0,26.1,3,0,3,11.4,12,16,391,206,185,364,197,167,43,7,8,9,0,"16,000",14.6
20230401,서울,구로구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,고척고등학교,공립,남여공학,특별/광역시,19850304,8239,서울특별시 구로구 중앙로15길 162(고척동. 고척고등학교),37.5085758,126.8506504,http://gocheok.sen.hs.kr,3,14,11,3,30,10,10,10,0,0,0,753,401,352,277,122,155,258,148,110,218,131,87,0,0,0,0,0,0,0,0,0,25.1,3,0,3,10.6,7,11,279,124,155,251,141,110,32,5,6,0,1,"23,159",30.8
20230401,서울,강서구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,공항고등학교,공립,남여공학,특별/광역시,19830412,7597,서울특별시 강서구 방화대로34길 43(마곡동. 공항고등학교),37.5700213,126.8183989,http://konghang.sen.hs.kr,3,16,9,7,27,9,9,9,0,0,0,645,322,323,222,111,111,218,112,106,205,99,106,0,0,0,0,0,0,0,0,0,23.9,3,1,2,10.4,11,22,223,110,113,220,109,111,27,6,7,0,2,"13,390",20.8
20230401,서울,영등포구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,관악고등학교,공립,남여공학,특별/광역시,19740301,7278,서울특별시 영등포구 영등포로6길 26(양평동2가),37.5225771,126.8818858,http://kwan-ak.sen.hs.kr,3,9,8,1,30,10,10,10,0,0,0,741,415,326,249,137,112,248,141,107,244,137,107,0,0,0,0,0,0,0,0,0,24.7,3,0,3,11.6,8,21,246,134,112,243,132,111,32,0,12,4,6,"19,160",25.9
20230401,서울,광진구,서울시,고등학교,일반고등학교,일반고등학교,해당없음,광양고등학교,공립,남여공학,특별/광역시,19880420,5104,서울특별시 광진구 자양로3가길 31(자양동),37.529343,127.0862371,http://gwangyang.sen.hs.kr,3,10,7,3,24,8,8,8,0,0,0,494,249,245,178,96,82,180,81,99,136,72,64,0,0,0,0,0,0,0,0,0,20.6,3,0,3,9.5,10,8,178,96,82,164,80,84,38,0,7,1,1,"16,354",33.1
